Gene_Ensembl ID,Sample,TPM
WASH7P,Adipose.Visceral,0.227876
MIR6859-1,Adrenal Gland,21.4757
MIR1302-2HG,Artery.Aorta,0.421611
FAM138A,Artery.Coronary,0.0871241
DDX11L1,Adipose.Subcutaneous,0.0465082
WASH7P,Adipose.Visceral,6.11275
MIR6859-1,Adrenal Gland,0.0897819
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0.281113
MIR6859-1,Adrenal Gland,1.25983
MIR1302-2HG,Artery.Aorta,1.63653
FAM138A,Artery.Coronary,2.1674
DDX11L1,Adipose.Subcutaneous,15.2584
WASH7P,Adipose.Visceral,135.979
MIR6859-1,Adrenal Gland,14.8365
MIR1302-2HG,Artery.Aorta,3.55398
FAM138A,Artery.Coronary,0.509674
DDX11L1,Adipose.Subcutaneous,22.5084
WASH7P,Adipose.Visceral,3.35972
MIR6859-1,Adrenal Gland,6.45438
MIR1302-2HG,Artery.Aorta,40.295
FAM138A,Artery.Coronary,0
DDX11L1,Adipose.Subcutaneous,12.2418
WASH7P,Adipose.Visceral,43.1969
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,15.8175
FAM138A,Artery.Coronary,21.8811
DDX11L1,Adipose.Subcutaneous,0.519879
WASH7P,Adipose.Visceral,52.2172
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,109.141
FAM138A,Artery.Coronary,81.8718
DDX11L1,Adipose.Subcutaneous,0.208741
WASH7P,Adipose.Visceral,161.622
MIR6859-1,Adrenal Gland,11.2684
MIR1302-2HG,Artery.Aorta,70.1048
FAM138A,Artery.Coronary,2.08688
DDX11L1,Adipose.Subcutaneous,6.19047
WASH7P,Adipose.Visceral,1.05089
MIR6859-1,Adrenal Gland,0.126107
MIR1302-2HG,Artery.Aorta,1.94559
FAM138A,Artery.Coronary,22.4482
DDX11L1,Adipose.Subcutaneous,1.77291
WASH7P,Adipose.Visceral,22.8518
MIR6859-1,Adrenal Gland,14.6123
MIR1302-2HG,Artery.Aorta,3.08961
FAM138A,Artery.Coronary,49.2738
DDX11L1,Adipose.Subcutaneous,0.670884
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,2.11367
MIR1302-2HG,Artery.Aorta,6.06234
FAM138A,Artery.Coronary,24.9327
DDX11L1,Adipose.Subcutaneous,1.05747
WASH7P,Adipose.Visceral,24.8159
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,19.1621
FAM138A,Artery.Coronary,2.00978
DDX11L1,Adipose.Subcutaneous,0.855516
WASH7P,Adipose.Visceral,18.5929
MIR6859-1,Adrenal Gland,4.23229
MIR1302-2HG,Artery.Aorta,2.72139
FAM138A,Artery.Coronary,53.728
DDX11L1,Adipose.Subcutaneous,189.693
WASH7P,Adipose.Visceral,0.788627
MIR6859-1,Adrenal Gland,0.905909
MIR1302-2HG,Artery.Aorta,1.36183
FAM138A,Artery.Coronary,0.055464
DDX11L1,Adipose.Subcutaneous,0.0391594
WASH7P,Adipose.Visceral,0.408157
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0.962854
FAM138A,Artery.Coronary,0.0265213
DDX11L1,Adipose.Subcutaneous,1.92192
WASH7P,Adipose.Visceral,9.0168
MIR6859-1,Adrenal Gland,0.340571
MIR1302-2HG,Artery.Aorta,62.204
FAM138A,Artery.Coronary,1.19198
DDX11L1,Adipose.Subcutaneous,0.185301
WASH7P,Adipose.Visceral,1.55926
MIR6859-1,Adrenal Gland,0.863164
MIR1302-2HG,Artery.Aorta,54.7305
FAM138A,Artery.Coronary,12.4073
DDX11L1,Adipose.Subcutaneous,1.1747
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,0.0594964
MIR1302-2HG,Artery.Aorta,12.7213
FAM138A,Artery.Coronary,0.382017
DDX11L1,Adipose.Subcutaneous,1.74185
WASH7P,Adipose.Visceral,2.33784
MIR6859-1,Adrenal Gland,76.468
MIR1302-2HG,Artery.Aorta,0.277276
FAM138A,Artery.Coronary,1.22928
DDX11L1,Adipose.Subcutaneous,12.9601
WASH7P,Adipose.Visceral,0.644392
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0.305862
FAM138A,Artery.Coronary,0
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,1.40858
FAM138A,Artery.Coronary,1.47972
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0.0227379
FAM138A,Artery.Coronary,2.15951
DDX11L1,Adipose.Subcutaneous,0.466403
WASH7P,Adipose.Visceral,38.1809
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0.759961
FAM138A,Artery.Coronary,58.0392
DDX11L1,Adipose.Subcutaneous,19.155
WASH7P,Adipose.Visceral,0.0786587
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,14.3446
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,2.08662
MIR6859-1,Adrenal Gland,24.5798
MIR1302-2HG,Artery.Aorta,0.436623
FAM138A,Artery.Coronary,3.70671
DDX11L1,Adipose.Subcutaneous,10.0407
WASH7P,Adipose.Visceral,4.85675
MIR6859-1,Adrenal Gland,16.4092
MIR1302-2HG,Artery.Aorta,0.175811
FAM138A,Artery.Coronary,0
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0
DDX11L1,Adipose.Subcutaneous,0.540305
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0.0610286
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,8.19833
MIR1302-2HG,Artery.Aorta,8.24339
FAM138A,Artery.Coronary,0.184919
DDX11L1,Adipose.Subcutaneous,208.513
WASH7P,Adipose.Visceral,1.01851
MIR6859-1,Adrenal Gland,8.85342
MIR1302-2HG,Artery.Aorta,35.1586
FAM138A,Artery.Coronary,0.0423481
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,20.3774
MIR6859-1,Adrenal Gland,8.56197
MIR1302-2HG,Artery.Aorta,0.0348621
FAM138A,Artery.Coronary,0.186863
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,17.1306
MIR1302-2HG,Artery.Aorta,16.894
FAM138A,Artery.Coronary,7.01758
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0.256807
MIR6859-1,Adrenal Gland,0.0900148
MIR1302-2HG,Artery.Aorta,18.2956
FAM138A,Artery.Coronary,25.7486
DDX11L1,Adipose.Subcutaneous,20.6889
WASH7P,Adipose.Visceral,13.0125
MIR6859-1,Adrenal Gland,15.3875
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0.159574
DDX11L1,Adipose.Subcutaneous,5.31641
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,0
MIR1302-2HG,Artery.Aorta,0
FAM138A,Artery.Coronary,0.0902183
DDX11L1,Adipose.Subcutaneous,0
WASH7P,Adipose.Visceral,0.349715
MIR6859-1,Adrenal Gland,0.052344
MIR1302-2HG,Artery.Aorta,0.263451
FAM138A,Artery.Coronary,0.67676
DDX11L1,Adipose.Subcutaneous,115.532
WASH7P,Adipose.Visceral,3.17414
MIR6859-1,Adrenal Gland,8.269
MIR1302-2HG,Artery.Aorta,0.714871
FAM138A,Artery.Coronary,0.0737666
DDX11L1,Adipose.Subcutaneous,0.0949318
WASH7P,Adipose.Visceral,0
MIR6859-1,Adrenal Gland,185.634
