Gene ID	Ensembl Gene ID	Ensembl Transcript ID	Adipose Subcutaneous	Adipose Visceral (Omentum)	Adrenal Gland	Artery Aorta	Artery Coronary	Artery Tibial	Bladder	Brain Amygdala	Brain Anterior cingulate cortex (BA24)	Brain Caudate (basal ganglia)	Brain Cerebellar Hemisphere	Brain Cerebellum	Brain Cortex	Brain Frontal Cortex (BA9)	Brain Hippocampus	Brain Hypothalamus	Brain Nucleus accumbens (basal ganglia)	Brain Putamen (basal ganglia)	Brain Spinal cord (cervical c-1)	Brain Substantia nigra	Breast Mammary Tissue	Cells Cultured fibroblasts	Cells EBV transformed lymphocytes	Cervix Ectocervix	Cervix Endocervix	Colon Sigmoid	Colon Transverse	Esophagus Gastroesophageal Junction	Esophagus Mucosa	Esophagus Muscularis	Fallopian Tube	Heart Atrial Appendage	Heart Left Ventricle	Kidney Cortex	Kidney Medulla	Liver	Lung	Minor Salivary Gland	Muscle Skeletal	Nerve Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin Not Sun Exposed Suprapubic	Skin Sun Exposed Lower leg	Small Intestine Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ANK2	ENSG00000145362.17	ENST00000514960.5	14.39	10.29	5.585	5.24	7.54	8.45	4.91	24.06	28.75	24.625	24.99	27.13	31.19	35.1	21.82	19.38	25.43	20.78	18.24	23.51	7.89	1.585	0	17.35	9.16	17.41	7.005	11.29	0	12.51	7.57	18.57	13.665	8.96	11.99	0	3.595	3.755	9.78	10.44	12.075	0	4.2	3.5	4.005	5.09	6.09	8.04	1.65	3.23	6.12	10.175	9.345	0
ANK2	ENSG00000145362.17	ENST00000612754.1	0	0	0	0	0	0	0	0	4.82	1.565	30.24	29.45	8.03	11.05	0	3.53	3.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANK2	ENSG00000145362.17	ENST00000634436.1	0	0	0	0	0	0	0	0	0	0	1.68	1.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	ENSG00000151067.21	ENST00000399655.5	2.18	1.56	0	11.655	13.44	11.82	10.14	1.62	2.43	1.86	4.64	5.38	4.52	4.09	0	2.08	2.345	1.59	0	0	1.55	2.565	0	3.65	5.225	25.35	6.84	10.93	0	14.22	3.41	6.22	5.945	0	0	0	3.65	0	0	0	0	0	4.79	5.16	0	0	0	2.52	0	0	0	16.935	2.35	0
CACNA1C	ENSG00000151067.21	ENST00000492150.1	0	0	0	4.22	4.66	3.61	1.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18	2.5	7.92	1.965	3.5	0	4.08	0	2.14	1.685	0	0	0	0	0	0	0	0	0	2.52	2.89	0	0	0	0	0	0	0	8.22	0	0
CACNA1C	ENSG00000151067.21	ENST00000496818.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26	0	0	0	0
CACNA1C	ENSG00000151067.21	ENST00000543114.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	2.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	ENSG00000151067.21	ENST00000616390.1	0	0	0	7.88	7.95	6.16	3.71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.88	5.355	11.85	3.225	5.94	0	6.81	3.05	3.91	3.78	0	0	0	2.35	0	0	0	0	0	3.63	4.46	0	0	0	1.81	1.69	5.59	0	11.735	2.06	0
CACNA2D1	ENSG00000153956.15	ENST00000356860.7	6.25	4.02	5.985	6.755	6.37	8.7	5.8	3.905	6.465	4.89	8.96	6.78	6.28	10.54	5.39	8.675	6.23	3.6	3.02	2.31	3.17	8.13	0	4.14	4.01	11.63	3.915	5.94	0	6.68	4.55	4.63	4.445	0	0	0	2.8	1.805	20.55	4.36	4.49	0	6.27	3.91	2.125	1.84	1.5	1.82	1.77	2	7.38	5.74	2.91	0
CACNA2D1	ENSG00000153956.15	ENST00000443883.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNB2	ENSG00000165995.18	ENST00000282343.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58	0	2.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNB2	ENSG00000165995.18	ENST00000324631.11	0	0	0	2.705	2.905	6.11	5.34	0	0	0	0	0	0	0	0	0	2.125	0	0	0	0	0	0	2.87	2.905	9.1	2.275	16.02	0	17.05	4.51	0	0	0	0	0	1.595	0	0	0	5.65	0	2.01	1.83	0	0	0	0	0	0	0	5.715	0	0
CACNB2	ENSG00000165995.18	ENST00000377315.4	0	0	0	0	0	0	0	0	2.115	0	7.91	6.39	3.88	6.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNB2	ENSG00000165995.18	ENST00000377319.7	0	0	0	0	0	0	0	0	3.215	2.26	9.33	8.51	4.5	5.04	0	4.005	1.79	1.82	0	0	0	0	0	0	0	2.59	1.99	2.35	0	1.94	0	0	0	0	1.575	0	0	0	0	0	2.765	0	13.7	2.65	0	0	2.49	0	0	0	0	0	0	0
CACNB2	ENSG00000165995.18	ENST00000377329.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37	0	2.34	2.815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CACNB2	ENSG00000165995.18	ENST00000612134.4	0	0	0	0	0	0	1.61	0	0	0	4.34	3.5	0	0	0	0	1.52	0	0	0	0	0	0	0	0	1.66	0	2.48	0	2.39	1.51	1.92	1.925	0	0	0	0	0	0	0	1.845	0	0	0	0	0	1.6	0	0	0	0	0	0	0
CACNB2	ENSG00000165995.18	ENST00000612743.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALM1	ENSG00000198668.10	ENST00000356978.8	64.06	57.48	28.79	147.8	114.9	151	74.45	357.7	541.65	373.35	766.1	617.7	568.2	742.2	357.7	270.15	455.9	268.9	199.8	208.8	50.03	30.54	20.95	47.81	43.53	184.2	104.35	158.9	59.05	189	60.12	58.13	56.36	41.95	42.64	15.895	74.765	42.195	113.1	77.63	39.275	17.315	118.8	55.1	41.445	40.9	80.28	53.47	53.59	45.64	46.57	53.875	49.4	14.6
CALM1	ENSG00000198668.10	ENST00000447653.7	4.38	4.59	0	2.9	3.17	2.77	2.14	0	0	0	3.27	1.84	0	0	0	0	0	0	1.85	0	3.74	2.495	4.06	1.61	0	3.78	3.36	2.95	4.49	3.41	1.91	0	0	1.98	3.05	0	5.255	2	1.95	3.99	0	0	1.74	2.1	1.91	1.78	6.54	5.69	2.12	2.29	2.24	2.155	3.26	0
CALM1	ENSG00000198668.10	ENST00000544280.6	2.27	2.01	0	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75	0	1.62	0	1.775	2.98	0	2.36	1.88	3.05	0	0	0	0	0	0	2.275	0	0	0	0	0	0	0	0	0	0	0	0	4.13	0	0	0	0
CALM1	ENSG00000198668.10	ENST00000553422.1	3.87	3.8	1.955	6.25	4.61	6.03	3.07	3.255	5.145	4.98	14.61	9.69	6.05	10.03	3.48	4.06	4.835	3.76	4.68	3.4	2.95	4.6	3.245	2.03	2.31	7.65	5.6	6.22	5.5	6.8	3.82	2.32	2.345	2.33	1.555	0	4.485	3.55	6.95	2.57	2.21	0	3.36	2.28	2.05	2.02	5.02	2.58	2.95	3.51	2.61	2.695	3.55	1.83
CALM1	ENSG00000198668.10	ENST00000553542.5	66.69	62.75	28.115	91.655	75.935	89.37	53.96	0	0	0	68.32	4.63	0	3.18	0	1.6	0	0	49.66	3.73	48.91	91.165	55.195	36.91	29.61	103.6	81.345	73	107	78.49	36.39	26.51	26.03	32.22	30.98	15.415	63.99	54.975	107.7	29.1	29.67	14.875	23.05	30.75	28.74	33.44	71.83	34.77	46.18	39.19	38.03	35.675	53.875	27.88
CALM1	ENSG00000198668.10	ENST00000553630.1	87.03	79.75	37.265	116.65	91.8	96.61	67.03	0	0	0	49.11	0	0	0	0	0	0	0	89.25	19.49	64.45	75.585	47.415	57.04	44.73	169.8	118.1	121.1	118.6	127.6	55.43	32.64	30.685	49.32	56.725	27.02	97.665	67.095	79.18	53.6	46.56	21.52	62.62	61.91	53.205	52.75	107.4	73.34	59.6	65.76	54.67	51.96	74.445	34.21
CALM1	ENSG00000198668.10	ENST00000553964.5	2.85	2.88	0	3.205	2.705	1.75	1.95	0	0	1.865	9.24	10.7	2.4	1.83	0	0	1.74	0	1.6	0	2.67	1.95	2.125	2.23	2.205	4.08	4.31	3.76	3.01	3.66	2.92	0	0	0	2.005	0	4.505	2.345	0	3.62	3.05	0	3.19	1.64	3.21	1.99	6.35	3.88	3.03	1.63	2.38	2.435	2.395	0
CALM1	ENSG00000198668.10	ENST00000553995.5	21.99	20.49	7.53	26.755	20.035	29.74	18.48	0	0	0	3.31	0	0	0	0	0	0	0	0	0	13.99	58	34.345	16.29	10.05	11.94	14.02	8.95	42.14	8.76	10.56	0	0	2.76	2.625	0	15.12	19.745	36.34	2.66	6.555	0	0	0	4.69	7	13.55	4.31	10.98	8.9	8.03	10.075	15.55	6.16
CALM1	ENSG00000198668.10	ENST00000554296.1	8.32	7.07	3.81	10.84	8.68	6.88	8.21	3.18	3.43	5.34	29.42	27.15	6.02	6.46	4.31	4.21	5.15	3.78	7.92	4.2	7.45	5.4	3.5	7.1	7.04	19.2	14.925	15.33	11.73	15.71	10.08	5.51	5.14	4.38	7.15	4.335	15.735	11.69	4.83	11.63	12.425	3.61	16.72	9.99	11.3	7.55	17.57	17.63	8.74	13.21	9.6	8.93	9.68	2.64
CALM1	ENSG00000198668.10	ENST00000555267.1	0	0	0	0	0	0	0	0	0	0	3.06	3.14	1.72	2.49	0	0	0	0	0	0	0	0	0	0	0	1.53	0	0	0	1.5	0	0	0	0	0	0	0	0	1.63	0	0	0	1.57	0	0	0	1.59	0	0	0	0	0	0	0
CALM1	ENSG00000198668.10	ENST00000556721.1	1.84	2.42	0	2.86	2.4	0	1.62	0	1.835	2.32	11.13	11.86	2.97	2.76	2.17	2.09	2.42	1.65	2.84	1.93	1.66	0	0	0	0	4.82	4.385	4.25	3.8	4.62	2.97	1.72	0	1.53	1.93	0	4.625	2.7	0	2.02	2.965	0	6.26	2.59	3.96	1.8	5.2	4.96	2.88	3.82	2.49	1.815	2.125	0
CALM1	ENSG00000198668.10	ENST00000556757.5	2.62	2.13	0	3.695	2.74	2.42	2.15	0	0	0	7.89	7.4	0	0	0	0	0	0	1.65	0	2.37	2.8	1.835	2.44	2.315	5.04	4.615	4.12	3.33	4.55	2.95	1.8	0	0	0	0	4.33	4.11	1.99	3.45	4.125	0	3.07	1.72	3.58	2.36	5.15	2.88	3.03	2.75	2.58	2.72	2.925	0
CALM1	ENSG00000198668.10	ENST00000557123.5	0	0	0	1.66	0	0	0	0	0	0	4.42	4.19	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3	1.68	1.88	0	1.99	0	0	0	0	0	0	1.765	0	0	1.64	1.74	0	1.62	0	1.59	0	0	0	0	0	0	0	0	0
CALM1	ENSG00000198668.10	ENST00000626705.2	4.8	3.41	0	0	0	0	6.6	0	0	0	0	0	0	0	0	0	0	0	0	0	4.23	2.99	2.535	0	2.665	4.61	6.085	2.8	9.9	1.97	2.33	0	0	2.83	4.295	4.38	3.33	5.22	0	0	2.63	2.94	0	4.5	5.97	4.54	7.31	12.01	6.29	4.54	2.09	0	3.66	6.85
CALM2	ENSG00000143933.16	ENST00000272298.11	371.2	326.5	393.45	578.9	564.95	622	333.2	640	823.3	692.1	1024	752	699.1	1155	677	779.05	710.1	516.7	855.2	600	367.9	498.05	364.7	317.5	383	545.7	437.75	523.4	234.1	582.1	482.7	181.3	163.35	226.5	275.35	125.3	429.45	317.85	103.1	738.9	353.25	67.86	422.9	322.7	257.1	259.2	392.8	439	172.6	612.5	347.4	497.4	298.4	109
CALM2	ENSG00000143933.16	ENST00000432899.5	0	1.93	2.285	2.675	3.76	2.44	3.01	31.52	26.21	25.12	18.1	26.62	28.69	26.32	39.67	31.605	21.01	35.55	14.25	22.92	1.89	0	0	2.69	2.885	5.87	2.89	6.23	1.59	5.43	0	0	2.265	3.9	43.87	6.64	3.155	0	0	9.39	2.17	1.55	22.96	21.3	2.315	1.57	2.17	19.45	0	2.31	4.04	3.41	2.755	0
CALM2	ENSG00000143933.16	ENST00000456319.5	19.29	26.84	27.255	48.65	52.83	73.36	36.4	13.44	24.61	20.42	223.5	101.1	22.61	106.1	13.65	18.35	33.065	11.44	29.42	16.28	21.77	51.86	31.64	51.88	37.42	48	31.885	33.79	19.93	39.77	33.57	5.56	2.85	16.51	51.185	6.28	35.685	19.04	6.32	44.76	49.89	4.885	37.34	20.9	10.39	10.27	33.78	39.72	9.18	43.24	31.91	64.955	33.525	0
CALM2	ENSG00000143933.16	ENST00000460218.5	3.71	3.98	4.18	4.335	5.445	3.96	4.69	2.71	3.145	4.275	18.49	20.82	4.93	4.28	3.6	3.485	4.16	2.73	5.32	3.3	5.17	6.165	3.83	8.06	8.565	7.56	6.025	6.79	2.87	6.15	6.46	1.86	1.55	2.34	6.915	1.895	6.02	6.27	0	21.66	12.57	2.27	9.12	6.06	2.885	2.94	7.13	10.07	2.81	5.3	9.64	9.855	5.155	0
CALM2	ENSG00000143933.16	ENST00000482532.5	0	0	0	1.55	1.62	0	0	0	0	0	4.96	4.15	0	1.6	0	0	1.54	0	1.58	0	1.76	0	0	0	0	1.82	2.175	2.08	0	1.92	2.17	0	0	0	0	0	2.59	0	0	3.97	1.915	0	2.36	0	1.81	0	2.6	3.95	0	1.82	2.18	1.765	0	0
CALM2	ENSG00000143933.16	ENST00000484408.5	0	0	0	0	0	0	0	0	0	0	2.87	2.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66	0	0	0	0	0	0	0	0	0	2.14	0	0	0	0
CALM2	ENSG00000143933.16	ENST00000489742.1	0	0	0	0	0	0	0	0	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ2	ENSG00000118729.11	ENST00000261448.5	9.64	6.01	0	16.66	91.345	163.2	44.58	0	0	0	0	1.98	0	0	0	0	0	0	0	0	6.32	0	0	6.21	6.285	53.86	12.515	44.14	3.48	49.71	10.72	232.4	247.85	0	3.005	0	3.73	2.23	72.22	7.34	1.605	0	0	2.77	1.6	3.19	1.85	0	2.27	0	3.39	14.325	2.9	0
CAV3	ENSG00000182533.6	ENST00000343849.2	0	0	0	0	2.695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.77	10.345	0	0	0	0	0	36.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAV3	ENSG00000182533.6	ENST00000397368.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF12	ENSG00000114279.13	ENST00000440901.4	0	0	21.265	0	0	0	0	3.95	4.555	1.985	3.16	1.81	3.21	5.6	2.62	4.275	1.595	1.71	0	3.5	0	0	0	0	0	0	0	0	0	1.53	0	35.55	29.495	0	0	0	0	0	0	0	0	0	4.82	0	0	0	0	2.95	0	2.36	0	0	0	0
FGF12	ENSG00000114279.13	ENST00000445105.6	0	0	7.17	0	0	0	0	6.375	11.22	3.82	11.83	7.52	12.29	21	3.62	7.025	7.69	2.91	0	3.71	0	0	0	0	0	0	0	0	0	1.55	0	10.6	7.235	0	0	0	0	0	0	0	0	0	1.8	0	0	0	0	1.91	0	0	0	0	0	0
FGF12	ENSG00000114279.13	ENST00000448795.5	0	0	3.625	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71	0	0	0	0	0	0	0	0	0	0	1.72	0	0	0	0	0	0	0	0	0	0	0
FGF12	ENSG00000114279.13	ENST00000450716.5	0	0	0	0	0	0	0	0	0	0	1.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.65	20.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF12	ENSG00000114279.13	ENST00000454309.6	0	0	10.07	0	0	0	0	0	0	0	0	0	1.5	1.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPD1L	ENSG00000152642.10	ENST00000282541.9	16.12	20.36	22.48	16.02	13.785	37.46	31.51	4.71	6.98	5.435	13.69	9.31	9.29	14.45	6.06	7.275	6.765	4.96	12.52	5.62	17.66	3.96	0	9.29	11.16	16.29	16.76	22.11	16.9	20.98	19.14	32.15	24.88	7.58	5.08	0	13.995	10.905	55.89	14.34	9.58	4.185	6.14	15.2	7.47	7.44	10.31	4.6	9.92	4.03	19.88	12.475	10.68	0
GPD1L	ENSG00000152642.10	ENST00000474846.5	3.87	3.56	3.43	2.29	2.275	2.79	7.7	1.975	2.715	2.195	4.02	5.47	4.37	3.49	2.18	2.205	2.32	2.33	0	1.83	4.92	0	0	2.19	3.3	3.52	5.57	5.56	4.99	4.63	3.55	6.87	6.41	2.51	3.555	0	4.68	3.655	2.55	4.27	2.43	2.62	3.74	7.67	3.75	3.52	4.89	4.72	3.84	0	5.52	2.59	3.52	0
HCN4	ENSG00000138622.3	ENST00000261917.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2	1.515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.64	0	0	0	0
KCND2	ENSG00000184408.9	ENST00000331113.8	0	0	0	0	0	0	0	2.27	3.295	4.005	40.64	25.64	2.77	4.89	1.9	4.225	4.335	2.56	0	2.38	0	0	2.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.89	0	0	0	0	0	0	0	0	0	0	0
KCND3	ENSG00000171385.9	ENST00000369697.5	2.07	2.65	0	3.815	2.115	5.78	5.36	6.14	8.825	5.56	34.53	30.98	11.13	13.35	5.29	6.135	7.345	3.83	1.55	5.77	0	0	0	2	2.14	4.54	2.185	7.66	0	8.26	5.24	4.29	2.965	0	0	2.78	1.515	0	0	0	0	1.5	3.27	5.88	3.22	3.61	0	2.51	0	0	0	4.525	2.825	0
